,0,1
0,57.779095,84.035774
1,58.6229,83.82119
2,59.76004,83.786156
3,60.968433,83.77708
4,62.40088,83.92148
5,63.75198,84.19968
6,64.80256,84.56394
7,65.77245,85.1187
8,66.424286,85.681206
9,66.68497,84.42838
10,66.601006,83.00899
11,66.18317,81.433556
12,65.73251,79.94569
13,65.15437,78.79734
14,64.75093,77.5955
15,64.2627,76.31531
16,63.524734,75.10542
17,63.11173,73.40597
18,62.844826,72.22129
19,62.792355,71.06443
20,63.004585,69.89752
21,63.265945,68.70989
22,63.602623,67.62633
23,62.113018,65.983315
24,62.07439,65.02058
25,62.055447,64.02681
26,61.983913,63.088314
27,61.797703,62.2278
28,61.548004,61.328465
29,61.34287,60.283215
30,60.95673,58.675167
31,60.312656,57.14351
32,59.465237,55.960117
33,58.580433,54.646034
34,57.884663,52.96941
35,57.45876,51.741077
36,60.028503,50.70884
37,60.043552,49.782375
38,60.402554,48.90848
39,60.922726,48.197662
40,61.66006,47.414467
41,62.29556,46.606712
42,62.95348,45.87533
43,63.48695,45.15491
44,63.819073,44.377644
45,64.14118,43.429184
46,64.40135,41.727352
47,63.73853,39.355206
48,61.257465,38.116703
49,60.983433,37.47472
50,60.995964,36.365013
51,61.06815,35.43813
52,61.196026,34.509438
53,61.34772,33.52369
54,61.418316,32.65134
55,61.42167,31.713036
56,61.82446,28.520313
57,61.984364,27.778229
58,62.21398,27.104984
59,62.243656,26.388515
60,62.280346,25.760075
61,62.384377,25.144222
62,62.52612,24.516895
63,62.868008,23.734573
64,63.75632,22.635826
65,64.48047,21.526127
66,64.34558,20.823162
67,64.31635,20.603207
68,64.54231,20.66671
69,62.766926,21.015118
70,62.243896,21.880756
71,59.796097,16.24559
72,59.96996,15.809688
73,60.18276,15.466104
74,60.423084,14.493012
75,61.193485,14.717193
76,62.13522,14.934951
77,63.448944,15.157176
78,65.1868,15.406795
79,67.46561,15.677699
80,69.739876,15.273946
81,72.37252,15.423691
82,73.4032,15.5564375
83,74.46734,15.7229395
84,75.38861,15.831758
85,76.07822,15.819463
86,76.91499,17.04514
87,77.97278,17.203701
88,79.078804,17.37938
89,79.91282,17.626015
90,80.73591,18.135893
91,81.56804,18.439817
92,82.335,18.58075
93,83.41157,18.910381
94,85.21015,20.335304
95,85.508644,20.387043
96,84.82227,19.283867
97,85.2275,18.959528
98,86.14879,18.945427
99,87.13633,19.035706
100,88.07162,19.081673
101,88.433044,18.575718
102,88.2847,17.735817
103,88.58628,17.372719
104,89.33838,17.296196
105,90.19398,17.291115
106,91.09273,17.31242
107,92.037254,17.355846
108,93.02826,17.395721
109,93.90201,17.352673
110,95.45634,16.806786
111,96.299225,16.71946
112,97.23491,16.668024
113,98.22532,16.663284
114,99.41271,16.55515
115,100.73013,16.558186
116,102.09347,16.611927
117,103.240776,16.696442
118,104.09675,16.797726
119,104.623604,16.854206
120,104.70794,16.830315
121,104.42555,16.691732
122,103.99697,16.451912
123,103.623085,16.258266
124,103.53033,16.051807
125,104.27681,15.8065
126,107.541245,15.21206
127,111.27062,13.857967
128,111.51371,13.227405
129,111.36475,13.46644
130,112.28832,13.931743
131,112.90505,14.245738
132,112.95713,14.01594
133,113.257706,13.935438
134,113.96659,14.032076
135,114.47451,13.93249
136,115.16531,13.190579
137,116.17,14.0995035
138,116.806755,13.942331
139,117.32613,14.032391
140,117.1596,14.923198
141,118.05838,15.270845
142,120.48893,16.26589
143,120.066185,16.971054
144,123.51298,18.341562
145,127.03178,19.340069
146,124.75096,19.327438
147,127.01009,21.542675
148,128.77559,21.293999
149,127.10871,21.780464
150,129.0178,22.073101
151,130.68367,22.366344
152,129.55733,23.479198
153,131.86092,23.22623
154,133.1751,22.167004
155,133.41563,21.1917
156,133.11212,22.506424
157,134.09625,21.622055
158,134.16266,21.42741
159,133.7733,22.369556
160,134.41689,21.30819
161,134.25104,21.222454
162,134.28973,21.725784
163,134.57062,21.389694
164,134.5896,21.505325
165,135.43079,22.376995
166,134.45906,21.23117
167,135.27817,21.93665
168,137.66714,23.65556
169,140.45892,24.9044
170,138.8781,24.261227
171,142.06319,25.439972
172,141.5297,24.96584
173,143.05516,24.767159
174,141.78848,25.671722
175,142.88016,25.272617
176,141.35577,24.271729
177,139.55087,23.536434
178,142.1772,24.937847
179,142.60397,24.59137
180,143.31717,24.38057
181,143.61577,24.370464
182,144.06044,24.39922
183,148.9323,27.036324
184,149.6149,27.517284
185,150.80385,28.219463
186,151.6895,28.841564
187,153.23964,29.117756
188,153.26561,29.210518
189,152.6207,29.270573
190,151.67326,29.293125
191,151.22177,29.140762
192,150.83911,28.346806
193,147.88585,26.74173
194,147.85046,26.681004
195,148.36456,26.728054
196,150.82501,23.800117
197,149.86714,23.784779
198,150.38716,25.540997
199,160.62704,28.339981
200,163.51009,26.323112
201,183.2484,17.8617
202,169.65369,25.582977
203,169.78079,25.140862
204,170.50255,22.077328
